㐀,キュウ おか
㨉,ビン ミン ブン モン
㨊,イ タ
㨋,シャ
㨍,ホウ
㨎,ゼン ネン ズイ ニ ゼツ ネチ
㨏,タン
㨐,ホウ フ
㨒,ケイ ケ
㨓,ロウ
㨔,カン ゴン うごかす
㨕,エイ
㨖,チ ジ
㨗,ショウ
㨙,カイ ゲ ケイ ゲイ
㨚,シュン ジュン
㨛,セン ソン
㨜,ケン ゴン カン
㨝,セツ セチ
㨞,ソ サク
㨟,カイ
㨠,ベン メン
㨡,コツ ゴチ クチ コン ゴン
㨢,ヒ
㨣,ヨウ
㨤,カイ
㨥,ドウ ノウ
㨦,ショウ シュ
㨧,ホン ボン
㨨,チュウ チュ リク ヨク
㨭,コ ゴ ク
㨮,トウ ツ
㨯,カク ひろげる
㨰,コン
㨱,ヨウ
㨲,サク
㨳,キ ギ
㨴,ケン
㨵,セン
㨶,トウ つく
㨷,キン コン ゴン カン ケン
㨸,バツ マチ
㨹,ケイ ケ セイ エイ エ セツ セチ セ
㨺,ベン メン ボン
㨻,サン ザン セン ゼン ゾン
㨼,リャク
㨽,ヒョク ヒキ
㨾,ヨウ
㨿,キョ
㩀,キョ よる
㩃,ケン
㩄,サイ
㩅,チュウ チュ ジュ リク ロク リュウ ル
㩆,シュウ シュ シュク
㩇,カク ギャク サク シャク
㩈,ギン
㩉,キュウ コウ ロウ トウ キョウ
㩊,セン セイ ショウ
㩋,シュク ショウ
㩌,ヒ フン
㩍,サク シャク
㩎,ヨウ
㩒,キン ゴン とらえる
㩓,キ
㩔,トン ドン
㩕,レイ
㩖,キョウ ゴウ
㩗,ケイ たずさえる
㩙,サイ
㩚,ボウ モ
㩛,タン
㩜,ラン とる
㩝,コウ
㩞,サク
㩠,オウ ヒョウ ビョウ フウ フ
㩡,ラ
㩢,ベツ メチ ベイ メイ バツ マチ
㩣,キ
㩤,フ
㩥,セン
㩦,ケイ
㩧,ハク ヒャク ホウ
㩨,セイ セ ケイ ケ
㩩,ケイ キョウ セイ ショウ
㩪,ケツ
㩬,キ
㩭,コウ ギョウ
㩮,ケン コン
㩯,ハ バ
㩰,ショウ
㩱,シャク
㩲,ケン
㩳,ショウ シュ ソウ とる
㩴,キョク コク ク グ
㩵,ガツ ガチ サツ ザチ
㩶,ジョウ ニョウ
㩸,チョウ ジョウ トウ
㩺,ヒ
㩻,キ そばだてる
㩼,シ
㩽,キ ギ
㩾,ツイ キ ギ
㩿,コツ クチ
㪀,ウ
㪁,キン ゴン カン コン ケン
㪂,コツ
㪃,カ
㪄,フツ ブチ
㪅,コウ あらためる
㪆,テイ タイ
㪇,セン
㪈,ケイ ケ
㪉,コウ
㪊,クン
㪋,カン ガン カ
㪌,トウ ツ ソウ ス
㪍,ホツ ボチ
㪎,セン ドウ ノウ
㪏,ヘイ
㪐,ロツ ロチ
㪑,ヨウ
㪒,ゲイ
㪓,タイ デ
㪔,サン
㪕,ショウ シャク
㪖,ロク リョク
㪗,トウ ツ
㪘,レン おさめる おさまる ほぼ けわしい
㪚,サン ちる
㪛,チン
㪜,シ セン タ
㪝,レン
㪞,モウ ボウ
㪟,トン あつい
㪠,カン
㪡,カイ カツ カチ
㪢,ソウ
㪣,キョウ コウ たたく
㪤,ヒツ ヒチ ヒ
㪥,サ シャ
㪦,イン
㪧,コウ キュウ
㪨,セン ゼン
㪩,シュク
㪬,タク チョク
㪭,ロ
㪮,レイ リョウ
㪯,キョ
㪰,サイ
㪱,カン
㪴,カツ ケチ
㪵,ハン
㪶,コク
㪷,トウ
㪸,シン
㪹,ロウ ル
㪺,ク コウ
㪻,ハン ホン ケン カン
㪼,カ
㪽,ショ ソ ところ
㪾,ラク カク キャク
㪿,セツ おる
㫀,テイ
㫁,タン ダン
㫂,ショ
㫃,エン
㫄,ボウ かたわら
㫅,キ
㫊,イ ア
㫋,セン
㫍,ユウ ユ ヨウ
㫎,キ コン
㫏,ヨウ
㫐,ヨウ
㫑,シ
㫒,キョウ ク
㫓,ケイ
㫔,コン
㫕,コウ
㫖,シ むね
㫗,コウ
㫘,ビツ ミチ
㫙,フ ブ
㫚,コツ
㫛,キョウ コウ
㫝,テイ タイ
㫞,トウ ひのいろ
㫟,エン
㫠,かわのな
㫡,トウ
㫢,キョ
㫤,チョウ
㫥,メイ ミョウ
㫦,シュウ ユウ
㫧,ボウ
㫨,アン チョウ
㫩,シュン
㫪,ショウ
㫫,ケン
㫬,ジュン
㫯,ボク モク つきすすむ
㫰,ロウ
㫱,ダン ナン
㫲,ハイ ベ ホツ ボチ
㫳,シン
㫴,コウ ほえる
㫵,ヒ
㫶,シュウ シュ
㫷,キ のち
㫸,ショウ
㫹,ショ ソ
㫺,セキ シャク むかし
㫻,コン
㫼,セイ
㫽,リョク ロク
㬁,ソウ
㬂,グ
㬃,タイ ダイ
㬅,マン
㬆,ビン ミン
㬇,カン
㬈,オン
㬉,ダン ナン あたたかい
㬊,エン
㬋,コウ ゴ
㬌,ケイ エイ キョウ ヨウ ひかり かげ
㬍,ハク
㬎,キン ゴン ゴウ ケン あらわれる
㬏,レキ リャク
㬐,シン
㬒,ボウ モウ
㬓,ヒョウ
㬔,コウ ゴウ
㬗,デン ネン
㬘,ソク
㬙,イ
㬚,テツ テチ
㬛,キュウ コウ
㬜,シン すすむ
㬝,ソウ ゾウ
㬞,エツ
㬠,サツ サイ
㬡,レイ
㬢,ギ
㬣,タイ デ
㬤,キュウ コウ
㬥,ホウ ボウ ホク ボク ハク あばれる
㬦,カク ワク おどろきみる
㬧,ハク ホク えり
㬩,ケイ
㬪,チョウ
㬫,エン
㬬,ク
㬭,ショウ シャク ザク
㬮,ダン ナン ダツ ナチ
㬯,レツ レチ
㬰,ユ ヨ
㬱,タイ かえる
㬲,テン
㬳,ゴ
㬴,コウ ク
㬵,コウ
㬶,コウ
㬸,チョウ
㬹,ソウ ショウ
㬻,コウ
㬼,ホク
㬿,トン
㭁,ジョウ ニョウ ニ ジ
㭂,ショウ
㭃,コウ
㭄,シン
㭇,エン エイ エ
㭈,ケツ ケチ ケン
㭉,カ ゲ
㭊,セキ
㭋,ホウ ボウ
㭌,ボウ ム
㭑,ビ ミ バイ メ
㭒,シ ジ イ すき
㭓,ヘン ベン
㭔,ロ ト ツ コ ク
㭕,キョ コ
㭘,コウ ギョウ
㭙,タク チャク
㭚,リョ ロ
㭛,ハイ ヘ ハ
㭜,ジュウ ニュ
㭝,キュウ オウ オ グ
㭞,レツ レチ
㭟,キョウ キク コク ク
㭠,セン
㭡,セイ サイ シン
㭢,ケイ キョウ
㭨,ヤ やし
㭩,レツ レチ ラツ ラチ
㭪,フ
㭫,サ ザ サン ザン
㭬,チョ
㭭,ハツ ハチ ハイ ヘ
㭮,サツ サチ サン
㭯,チョウ
㭰,スイ シ
㭱,コウ
㭲,キョウ
㭴,かし
㭷,おうこ
㭸,ト ズ
㭹,ケン ゲン
㭺,エン アン オン
㭻,トウ
㭼,トウ ドウ
㭽,テイ タイ
㭾,クツ グチ
㭿,コウ ゴウ
㮀,カン
㮁,コウ ギョウ
㮂,キョク コク
㮃,ズイ ニ イ
㮄,ボウ かじ
㮅,スイ
㮆,ゲツ
㮇,テン
㮈,ナ
㮊,ホウ
㮋,イタ
㮌,メン
㮍,サン セン
㮎,ハイ さかずき
㮏,デイ ナイ ダツ ナチ
㮐,セイ ショウ カ ケ シ
㮑,シュウ ソウ
㮒,ゼン
㮓,コウ
㮔,ショウ トウ ズ
㮕,ジ ニ ゼン ネン
㮖,カツ ケチ
㮗,キン ゴン
㮘,ボウ ム モウ
㮙,ガク
㮚,リツ くり
㮛,シ ジ イ
㮜,ソウ
㮝,カク ギャク
㮞,セツ
㮟,デン ネン
㮡,カン
㮤,ショウ
㮥,ホン ボン ハン
㮦,サク セキ シャク
㮧,オ ウ オツ オチ
㮨,ショク シキ
㮩,ショク ソキ
㮪,キョウ グ
㮫,カツ ガチ ゲチ
㮬,オウ オ
㮭,カン ゴン
㮮,キツ ケツ
㮯,コン ゴン カツ カチ
㮰,ヒ ビ ヘイ ヘツ ヘチ のき
㮱,ショウ シン
㮲,シュ ス シュウ
㮳,チン
㮴,シュウ
㮵,セン
㮶,サク
㮷,ケイ
㮸,ソウ くさび
㮹,チ
㮺,ホン
㮿,ヒツ ヒチ
㯀,セン ゼン
㯁,ハイ バイ
㯂,タイ
㯃,シツ シチ
㯄,シ
㯅,ヒ ビ ヘイ
㯆,サン セン
㯇,ヘイ
㯈,ソク
㯉,クワ ゲ チョ
㯊,コン ゴン
㯋,ケイ キョウ
㯌,テン たるき
㯍,ショウ
㯎,ドン
㯏,ケイ
㯐,ダ
㯓,トウ
㯔,セイ セ
㯕,セイ サイ シ
㯖,タク
㯗,カン ゲン
㯘,カン
㯙,テツ デチ
㯚,トウ
㯛,コ ゴ
㯜,スイ ズイ
㯝,ロ
㯟,ロク
㯠,ケン
㯡,ホウ ヒョウ カン ガン ビョウ
㯢,よこぎ
㯣,フン
㯤,リョク リキ
㯥,ソウ
㯦,キ
㯪,レイ
㯫,キョ ゴ
㯬,レン いさお
㯭,ロ
㯮,ショク ゾク
㯯,コウ ク タン トン グ
㯰,チ
㯱,ヒョウ ビョウ ホウ ワイ エ
㯲,キン コン
㯳,ケイ ゆだめ
㯶,ソウ ス シュ
㯷,ホク ボク ハク
㯸,シン セン
㯺,カン ガン
㯻,コン ゴン ケン
㯽,ビン ヒン
㯾,ショウ ソウ
㯿,ヨウ リョウ ロウ
㰀,レイ
㰁,ラ
㰂,シン
㰃,ベン メン
㰄,セン
㰅,テキ タク
㰆,ハイ
㰉,シン
㰊,セン ゼン
㰋,ヒン ビン
㰌,カク
㰍,ロウ ル リョウ リュ
㰎,スイ
㰏,コウ
㰐,タ
㰑,サン
㰒,ガク
㰔,ショウ
㰕,キ
㰖,ラン
㰗,シュク
㰘,イ
㰙,ダ
㰚,リ
㰛,ヤク
㰝,イ
㰞,シ
㰟,キ ケ キツ コチ
㰠,コウ
㰡,カイ ケ
㰢,コウ キョウ
㰣,シ ジ
㰤,カ ケ
㰥,ケイ
㰦,キョ コ カ あくび
㰧,カイ
㰨,キ カイ ケ
㰩,カイ
㰪,アイ ケイ
㰫,タン トン
㰬,シュン
㰭,ク コ
㰮,シン ジン
㰯,トウ ヒュ ツ ク コウ ヒュウ
㰰,コウ キョウ
㰱,ソウ
㰲,イク ケキ ショク ソク カク キョク
㰳,ア
㰴,ホウ フ
㰵,シュツ シュチ
㰶,ユウ キュウ オウ オ ヒョウ ビョウ ギョウ
㰷,シ
㰸,カン ケン コン のぞむ あたえる
㰹,カン コン ケン
㰺,カ ゲ
㰻,キ イ ク コウ
㰼,ショウ キョウ
㰽,エン
㰾,キョウ
㰿,ケイ
㱀,シ
㱁,スイ カン まこと
㱂,コウ
㱃,イン のむ
㱄,コク ボク モク
㱅,イ
㱆,キ
㱇,ショク シキ コキ キョク キョウ
㱈,キン ゴン
㱉,ギョウ
㱊,ユウ ウ
㱋,コウ
㱌,ヨウ ショウ
㱍,ラン ケン
㱎,コン
㱏,セイ
㱒,カ
㱕,キ かえる
㱖,スイ ズイ
㱗,キュウ ク
㱘,エン
㱙,キュウ ク くちる
㱚,サン ザン ガチ ガツ ハツ ハチ
㱛,セン ホ
㱜,サツ セチ
㱞,ギュウ ゴウ ロウ
㱟,ヒ
㱠,コ ク
㱡,ショウ
㱢,ロウ
㱣,タイ テ
㱤,セキ シャク
㱥,リョウ ロウ
㱦,キ
㱧,エン オン ワツ ワチ
㱨,レン
㱪,コン ボン
㱫,ラン
㱬,ワイ エ
㱭,タン
㱯,ガイ カイ
㱰,サイ
㱱,カイ エ
㱲,イ
㱳,バク マク
㱴,シ
㱵,フン
㱶,ホウ ヒョウ
㱸,ヘキ ヒャク ビャク
㱹,レキ リャク
㱺,リョ ロ
㱻,ラ ライ レ
㱼,カイ アイ
㱽,チン キン ゴン タン トン
㱾,カイ ガイ
㱿,カク から
㲀,シン
㲁,コウ ク シュウ シュ
㲂,トウ ジョウ
㲃,キュウ ク ジュウ ニュ
㲄,フ
㲅,ケイ カイ
㲆,レイ リョウ
㲇,トウ ロウ
㲈,ショウ ジョウ トウ ドウ ふりつづみ
㲉,カク コク
㲊,エイ あきらか
㲋,チャク
㲌,ジョウ ニョウ
㲍,シ
㲎,ル
㲏,ホウ
㲒,ホウ ボウ
㲓,シュ
㲔,セン シン
㲕,ライ レ レツ レチ
㲖,ショウ シュウ シュ
㲗,フ
㲙,ショ ソ
㲚,サ シャ
㲛,チ
㲜,タン
㲝,ジョウ ニュ ジュン ニン ボウ モウ
㲞,ソツ ソチ
㲟,エイ ヨウ
㲠,リ
㲡,ダイ ナイ
㲢,ヘン ベン
㲣,シュウ
㲤,スイ
㲥,トウ ドウ
㲦,カン ガン
㲧,ソウ
㲨,ジョウ ニュ
㲪,トウ
㲫,ホク ボク
㲬,ショウ
㲭,タン
㲯,ゼン ネン ラン
㲰,ドウ ニョウ
㲱,リョウ たてがみ
㲳,テツ デチ チツ チチ
㲴,ソウ ス
㲵,ショウ
㲶,リョク
㲷,タン
㲸,キュウ コウ
㲹,ハン キ ただよう
㲺,シツ シチ
㲻,デキ ニャク ダク ナク
㲼,ガイ ゲ
㲽,デン ネン ショウ ジン ニン
㲾,ウ
㳀,カ
㳁,ショク シキ
㳂,エン そう
㳃,サイ
㳄,セン
㳅,リュウ ながれる
㳆,トウ ツ
㳈,ハイ
㳊,ユウ
㳋,キュウ
㳌,オウ
㳍,ホ フ
㳎,ヘン ベン
㳏,シ
㳐,サツ セチ
㳑,イツ
㳒,ホウ のり
㳖,イ
㳗,サイ セ
㳘,シュウ シュ トウ
㳙,ケン
㳚,キツ キチ
㳛,ユ ユウ
㳜,キュウ ク
㳞,チュウ
㳟,キョウ ク うやうやしい
㳤,シュク
㳥,ロウ
㳦,カイ ガイ
㳧,ショウ ジョウ ニョウ チョウ
㳩,タン
㳪,ヒ
㳬,セン
㳭,セン ゼン
㳮,ニョウ
㳴,ビツ ミチ
㳵,キ
㳶,ドウ ヌ ジュ ニュ
㳷,カイ コツ コチ ケ ブン モン タイ テ
㳸,カ ケ
㳹,オウ
㳺,ユウ あそぶ
㳻,シャク サク セキ ソ
㳼,ヒツ ヒチ
㳽,ビ
㳾,キョウ コウ
㳿,セツ セチ
㴀,ハン ホン ふかい
㴁,エキ ヤク
㴂,タン
㴃,ルイ
㴄,オウ
㴅,ショウ
㴆,シン
㴇,ショウ
㴈,ギン ゴン
㴉,セイ
㴊,エン
㴏,オウ ワ
㴐,ベン メン
㴑,ソ さかのぼる
㴒,エキ ヤク
㴓,サイ セ
㴔,キュウ コウ ユウ オウ
㴕,シュウ
㴖,ハク
㴗,ユウ ユ
㴘,ボウ モウ フ ブ
㴙,ソウ ゾウ ショウ
㴚,スイ
㴛,チ
㴜,ヘン
㴝,レイ ライ
㴞,トウ ドウ はびこる
㴠,カン
㴥,ショウ
㴦,キュウ ク
㴧,ショク ソキ
㴨,チン ジン
㴩,ヨウ ユ
㴪,ゲツ ゲチ
㴫,コン クン グン ガ ゲ
㴬,シャ ヤ
㴭,ヨウ
㴮,セツ
㴯,シ
㴰,ドウ ノウ
㴱,シン ふかい
㴲,シ
㴳,ボウ モ モウ
㴴,タン
㴵,ビツ ミチ
㴶,カク コク ゴク
㴷,タン トン
㴸,セン
㴼,シュク
㴽,セツ セチ
㴾,ボツ
㴿,テイ チョウ
㵀,ソク ゾク
㵁,コウ オウ
㵂,ショ
㵃,シャ ジャ
㵄,カン
㵅,タン トン
㵆,コウ
㵊,ドウ ノウ
㵋,バイ メ ベキ ミャク
㵌,シュン ジュン
㵍,ボン モン
㵎,カン ケン たに たにみず
㵏,サイ
㵐,ケツ カチ
㵑,カ ガ
㵒,ヒ ハイ ヘ
㵓,ショク
㵔,シャ
㵕,シン
㵖,ジョ ニョ
㵗,ヒョウ ホウ ビョウ
㵘,バン マン ジョウ ニョウ
㵝,エイ
㵞,シュウ ジュ ソウ
㵟,ビ ミ
㵠,コツ クチ
㵡,ハク バク
㵢,ライ レ
㵣,カツ カチ
㵤,ソウ
㵥,ビツ ミチ
㵦,ズイ
㵧,カツ カチ エイ おおう かすか
㵨,ヒ ハク ヒャク
㵩,エイ
㵪,セン ゼン エン
㵫,ジュウ ニュウ
㵬,エイ ヨウ
㵭,ショ
㵮,チュン
㵯,フ ブ
㵰,ショ ジョ
㵱,ヒョウ
㵲,ブ
㵳,リョウ
㵴,ソウ ゾウ
㵵,シュウ ジュ ショ ジョ
㵶,サツ サチ セキ シャク
㵷,ヘン ベン
㵸,ヤク
㵹,バク ミャク
㵺,ハイ ヘ ヘイ
㵻,キュウ ク
㵼,シャ そそぐ かた はく のぞく
㵽,レ ライ ルイ
㵾,セイ ショウ ソウ
㵿,キョウ ギョウ
㶀,キョウ
㶁,カク
㶄,エン セン ゼン
㶅,カク コウ
㶆,ショ チョ ジョ
㶇,コウ オウ
㶈,エイ
㶌,レン
㶍,セン
㶎,カン ゲン
㶏,イン
㶒,シン サン タン トン セン
㶓,ソウ ゾウ しずむ
㶔,ハイ ベ
㶖,シュク
㶗,ハン ホン
㶘,テン デン
㶚,ハ
㶛,ヨ
㶜,エン
㶞,ノウ ドウ
㶟,ルイ
㶠,エキ ヤク
㶡,カ タイ ダイ
㶣,テン デン タン ダン イン
㶤,ショウ
㶥,カン
㶦,シン ジン
㶧,ドン ナン
㶨,ハイ
㶬,バツ マチ
㶭,ユウ ウ
㶮,ヘイ
㶯,リュウ ル
㶰,カン ゴン
㶱,ホ
㶳,シン ジン もえのこり
㶴,シ
㶵,ジン
㶹,コウ グ
㶺,テン カン ガン
㶻,ホウ
㶼,アイ キ
㶾,ヒョウ
㶿,ホツ ボチ
㷀,ケイ
㷂,ショ
㷃,ツイ
㷄,カイ ケ カン
㷅,ソウ ショウ
㷆,フウ ブ
㷇,カイ ケ
㷈,オウ
㷉,イ
㷊,フン
㷋,タン ダン
㷎,エツ エチ
㷏,ヨウ ユ
㷐,キ
㷑,エン
㷒,グ
㷓,ソウ ス
㷔,エン
㷕,シュウ ジュ
㷖,ショウ
㷘,タイ
㷙,セン
㷟,タイ テ
㷠,リン おにび
㷡,ケイ キョウ
㷢,シ サ シャ
㷣,セイ ショウ
㷤,コク カク
㷥,ジョウ
㷦,ケキ
㷫,ケイ キョウ
㷬,バク マク
㷭,ホウ のろし
㷮,ソウ ゾウ
㷯,ホウ ボ
㷰,チ リ
㷱,ユウ キュウ グ ユ くま
㷳,ガン ゲン
㷴,レキ リャク
㷵,ボク モク
㷶,ヒョク ヒキ ヒ ビ ホク ボク
㷷,シ セン
㷸,ユウ ヨウ
㷹,トウ ジョウ ソウ ショウ
㷻,ブ コ
㷼,エン
㷾,キャク ガク
㷿,ケン コン
㸀,タイ
㸁,カン
㸂,スイ
㸃,テン セン タ
㸄,セイ
㸅,ショク セツ セチ ソキ シツ シチ
㸈,ショウ
㸉,ショウ
㸊,ラツ ラチ ライ レ
㸋,ハン ボン
㸍,キ
㸎,ジョウ ニョウ
㸏,ビ ミ
㸐,ゼン
㸑,ソン
㸒,イン ジン ニン
㸔,カン みる
㸕,カク
㸖,ショ
㸗,トウ ズ
㸘,バン
㸙,シャ
㸚,リ イ レイ ライ
㸛,ショウ ジョウ
㸜,コウ ク
㸝,ケン コン カン
㸞,セツ セチ
㸟,シ
㸠,チョウ
㸡,シュ
㸢,ヒ
㸣,ギョウ ゴウ
㸤,ヘン
㸥,サン ゼン
㸦,コ
㸧,カン ケン
㸨,キュウ ク
㸩,ガン
㸪,スン ズン シュン ジュン
㸫,ケン カ
㸬,ハイ
㸭,ハ ヘ
㸮,フン ブン
㸯,カ キュウ ク
㸰,タ ダ カ
㸱,タ
㸲,サク
㸳,レイ リョウ
㸵,キ
㸶,アン エン
㸷,セイ ゼイ
㸸,オウ オ コウ ク
㸹,レツ レチ ラツ ラチ
㸺,サ シャ
㸻,シ ジ
㸼,ホウ フ
㸽,ハイ
㸾,ジン
㸿,トク ドク こうし
㹀,シ ジ めうし めす
㹁,リョウ
㹂,カン ゲン ケン ケツ ゲチ
㹃,ヒ ビ ハイ ヘ
㹄,ショク シキ
㹅,ソウ
㹆,キ カイ ケ
㹇,ケン コン カツ ガチ
㹉,ゲン ガン
㹊,ガク ラク コク ゴク
㹋,シュウ シュ
㹌,サン セン セイ ショウ
㹍,テキ ジャク
㹎,ルイ
㹏,キン コン
㹐,ショウ ジュ
㹑,シ
㹒,ハク
㹓,ギョウ
㹔,キョウ コウ
㹕,カン
㹖,カン
㹗,トウ ドウ タイ ショウ キュウ ク サイ シュウ
㹘,ジュ ニュ
㹙,オウ ヨウ
㹚,オウ ヨウ
㹛,ジョウ ニョウ
㹜,ギン ゴン
㹝,シ
㹞,ギン ゴン ガイ ゲ
㹟,ケツ ケチ カイ ケ
㹠,トン ドン
㹡,ケン ゲン
㹢,カ ケ
㹣,シュウ
㹤,キョウ
㹥,シュ トウ ツ
㹦,チョウ
㹧,ヨウ オウ
㹨,ユウ
㹫,イ
㹬,シ
㹭,エイ
㹮,バク ミャク
㹯,キュウ
㹱,シャク サク ショク ソク
㹲,コウ キョウ
㹳,ゴ
㹴,コウ キョウ
㹵,ゲイ ギョウ
㹶,テイ ジョウ
㹷,キ
㹸,ボウ
㹹,コウ キョウ
㹺,トウ
㹻,ワ イ
㹼,キク コク
㹽,サン セン
㹾,ヒョウ ビョウ ギョウ キョウ
㹿,タク ジョク トウ チョウ
㺀,ドウ
㺁,ドウ ノウ
㺂,カン コン ガン
㺃,コウ
㺄,ユ
㺅,コウ さる
㺇,シ
㺈,シ
㺉,コク コウ ク カク
㺊,ヨウ
㺋,オウ オ
㺌,カン ゲン ガン ケン
㺎,ヨウ ユ
㺏,ル ユ
㺐,ソウ ショウ トウ チョウ ロウ
㺑,サン ソウ シン ザン ショウ
㺒,コウ オウ ロウ ドウ ニョウ キョウ ギョウ ヨウ
㺓,セキ
㺔,キ カイ
㺕,ハン ボン ヘン ベン
㺖,カン アン サン ガン
㺗,サン セン エン
㺘,サン
㺚,タツ ダツ かわうそ
㺛,シュ
㺜,ドウ ノウ ヌ ジョウ ニュ ニョウ
㺝,カン ガン
㺞,ヨ
㺟,タク ジョク
㺠,ユウ ユ
㺡,レキ リャク
㺣,キ
㺤,セン
㺥,サン ザン
㺨,シ
㺩,シツ シチ キュウ グ
㺪,ハク
㺫,キュウ
㺬,キョウ ク シン
㺭,シ
㺮,ウ
㺰,シ
㺱,ジョウ ニョウ
㺲,ジュウ
㺳,バイ
㺴,ハツ ハチ
㺷,シュツ シュチ
㺸,ヘイ ビョウ
㺹,ヘン ベン
㺺,ボウ バイ
㺿,イ キ
㻀,ユ
㻁,カイ
㻂,ヘイ ビョウ ヒョウ
㻃,キョク コク
㻄,ホウ
㻆,ケン
㻉,ホ ブ
㻊,ボン
㻋,ラツ
㻌,ト ツ
㻍,ゴ
㻎,シツ
㻑,キ
㻒,グン ギン キン ゴン
㻓,シュウ シュ
㻔,タ
㻕,クツ グチ
㻖,タイ ダイ
㻗,ハイ
㻚,ホウ
㻝,ラツ ラチ
㻞,ヒン ハン ヘン
㻟,スイ ズイ
㻠,トツ トチ
㻡,セツ さらう
㻧,タ
㻨,ワン
㻫,ヒツ ヒチ
㻬,チョ ト ツ
㻭,シツ
㻮,サン
㻯,ト ツ
㻰,エイ エ
㻲,リュウ ル
㻵,サン ゼン
㻶,ヒツ ヒチ
㻷,キョク コキ
㻸,シン
㻹,ケン
㻺,レキ リャク
㻽,スイ ズイ セン ゼン
㻾,ヨウ
㻿,ショク ゾク
㼄,キ
㼇,ケイ
㼉,ジン チン
㼊,トン ドン
㼋,コ ク ジョ からすうり
㼌,ユ
㼍,ライ レ
㼎,ハク バク
㼏,ダイ ネ
㼐,ヘン ベン
㼑,レン
㼒,トウ
㼓,レン
㼔,オン
㼕,トウ
㼖,レイ ライ リ
㼗,テイ ジョウ
㼘,ガ ゲ
㼙,シュウ
㼚,コウ
㼛,ケイ ギョウ コウ
㼜,オウ ヨウ はち
㼝,ワン
㼞,ホウ ヒョウ ビョウ
㼠,タ ダ
㼡,シュ ジュ
㼢,イ
㼣,ヒャク ハク
㼤,ケツ ケチ ケイ
㼥,コウ トウ ツ
㼦,キョウ
㼧,トウ ズ
㼨,カン ゴン
㼩,セイ ジョウ
㼪,ショウ
㼫,カン ガン カ ゲ
㼬,コウ ギョウ ケイ
㼭,テン デン
㼮,サイ セ バイ メ サ シャ セイ
㼯,トウ ツ
㼰,ヘイ ベイ ヒ ビ
㼱,シュン ゼン ネン
㼲,リョウ
㼳,セイ ショウ
㼴,ゴウ ゴ
㼵,テイ ダイ
㼶,ユ ユウ ウ
㼷,セン
㼸,ヨウ ユ
㼹,コウ
㼺,トウ ドウ
㼻,ソウ ゾウ ズ
㼼,ヒョウ
㼽,ソウ ショウ
㼾,ロク
㼿,トウ ズ ショウ シュ
㽀,テイ ジョウ
㽁,レキ リャク かなえ
㽂,ソウ
㽃,ハン ボン
㽄,シ セイ サイ
㽆,トウ
㽇,コク ゴク
㽈,ギ
㽉,カン ガン
㽊,ショウ
㽋,ラ
㽍,カン
㽎,タン トン ドン キン コン
㽐,ケン
㽑,タン ドン
㽒,セイ
㽕,ユウ ユ
㽖,ダン
㽗,セ うね
㽘,コウ
㽙,イン まこと
㽚,セキ シャク
㽛,コウ ク グ
㽜,エン
㽝,レイ レツ レチ
㽞,リュウ
㽟,レツ レチ
㽠,コウ ギョウ
㽡,ヒ
㽢,アン オン ヨウ
㽣,イキ
㽤,キク コク
㽥,ジュウ ニュ
㽦,シュン ジュン ケン ゲン キン テン デン シン
㽧,シ
㽨,サ シャ
㽩,サン
㽪,ソウ
㽫,ヨウ ユ
㽬,フウ フ ヒョク ヒキ
㽭,ゼン
㽮,セイ
㽯,ケイ
㽰,ショ ソ
㽱,コウ キョウ キュウ ク ジュウ ニュ
㽲,キュウ ク
㽳,ク
㽴,チョウ ジョウ
㽵,ソウ ショウ
㽷,スイ
㽸,ジン
㽹,ハン ホン
㽺,コウ ゴウ キュウ
㽻,シ
㽽,コ ク
㽾,ゴツ ゴチ
㽿,カ
㾀,キョウ コウ キョ コ
㾁,シュツ ジュチ コツ コチ チュツ チュチ キツ キチ
㾂,カイ
㾃,タ ダ
㾄,トク ドク
㾅,シ
㾆,セン
㾇,ボク モク
㾈,フ ブ
㾉,レイ リョウ
㾊,セキ ジャク サク シャク ソク シ
㾋,キュウ ク
㾌,セン
㾍,ダイ ナイ ザイ
㾎,オウ
㾏,カイ ケ ガイ ゲ ゲイ
㾐,レイ
㾑,トウ ゴウ
㾒,ジョ ニョ
㾓,エン
㾔,リョ ロ
㾕,シン ソン
㾖,リ
㾗,リョウ
㾘,コウ キョウ
㾙,キン コン キ ケ
㾚,シャ
㾛,シン
㾜,キョウ
㾝,シャ
㾞,ユウ ユ
㾟,ホ ブ
㾠,キョウ ゴウ
㾡,キャク
㾢,ライ
㾣,キン コン コウ
㾤,コウ
㾥,チク
㾦,ハイ ベ ヘ
㾧,カ ラ
㾨,イ キ アイ ア
㾩,カイ ケ
㾪,セイ ショウ
㾫,ヘン ベン
㾬,カイ
㾭,シュウ シュ
㾮,コウ オウ
㾯,カイ エ ケ ワイ タイ デ
㾰,コ ゴ
㾱,ハイ かたわ すたれる
㾶,コツ クチ
㾷,セイ サイ シ
㾸,コウ
㾹,サイ ゼ シ ジ
㾺,バ メ バン マン ダン ナン
㾻,チョ ジョ
㾼,タイ テ
㾽,ツイ タイ テ デ
㾾,ケン コン レン
㾿,ロウ
㿂,チ
㿃,テイ タイ
㿄,アイ ア イ
㿅,セン
㿆,カ
㿇,シュウ
㿈,ヨウ
㿉,タイ デ
㿊,セン シン サン
㿋,ソウ
㿌,ケン コン
㿍,カイ
