㐀,キュウ おか
㟓,キ ゲ
㟔,カン
㟗,ヒン
㟘,チョウ ジョウ
㟙,サク ジャク
㟚,キ
㟛,サン ザン
㟜,ビ
㟝,バイ
㟞,サン
㟟,コウ
㟠,コウ
㟢,さき
㟦,ウン
㟧,ガク
㟨,タン
㟩,ビン
㟪,イ ワイ エ
㟫,セン
㟬,ソウ
㟭,ビン
㟰,ベイ ミョウ
㟱,ヨウ
㟲,ゲン
㟳,リツ リチ
㟴,カイ ケ イ
㟵,コウ
㟶,ゲン ガン
㟸,コウ
㟹,リョウ ロウ
㟺,ロウ ル
㟻,セン
㟼,ゴク ガク
㟽,ヒョウ
㟾,ヨウ ユ
㟿,ボウ モウ
㠀,トウ しま
㠁,シン
㠂,ゴウ
㠅,フク
㠆,タン テイ タイ
㠇,シュウ シュ
㠈,ジュン ニン
㠉,トウ ズ
㠊,キョ コ
㠋,ガク
㠌,キ カン たかい
㠍,シュウ
㠎,ソウ ゾウ ショウ ジョウ シュウ ジュウ
㠏,カ ゲ
㠐,キョウ
㠑,サイ スイ ゼ セ
㠒,ヒョウ
㠓,ボウ ム
㠔,ハイ ヘ
㠕,イ
㠖,ギ
㠗,オウ
㠘,ショ
㠙,コウ
㠚,タイ デ
㠛,ワク
㠝,サン
㠠,リョ ロ
㠡,ジョウ ニョウ
㠢,カイ エ
㠥,リツ リチ ライ レ ルイ
㠦,フウ フ
㠧,ビ ミ
㠨,ウツ
㠩,コウ
㠪,キョ
㠭,テン
㠮,ホウ ホ
㠯,イ
㠱,キ ギ
㠲,ヒ
㠴,ジン ニン ジツ ニチ
㠵,コウ
㠶,ハン ボン ほ
㠷,コウ
㠸,フ
㠹,カイ
㠺,サ シャ ビョウ モウ
㠻,キ
㠼,シ
㠽,トウ ズ
㠾,エン オン
㠿,シ
㡀,ヘイ ベイ ヘツ ヘチ
㡁,カ ケ カイ
㡂,レイ
㡃,コウ ボウ モウ
㡄,ジュン シュン まこと
㡅,ダ ナ
㡆,コウ ボウ モウ
㡇,テン チョウ ショウ
㡈,ブン モン ベン メン
㡉,ケン ゲン
㡊,コウ
㡋,ヨウ アン オン
㡌,ボウ
